player_name,age,nationality,club,overall,potential,pace,shooting,passing,dribbling,physical,market_value
Luis Busquets,25,England,Bayern Munich,65,71,62,57,62,72,66,52498282
Kylian Di Maria,22,Germany,AC Milan,80,84,99,66,69,75,89,64110912
Marc Mount,24,Italy,Liverpool,56,62,56,67,62,56,62,45437039
Ruben Junior,32,Brazil,Juventus,78,82,74,79,76,64,80,62538763
Benjamin Reus,38,Argentina,Sevilla,65,77,77,65,70,67,70,54385324
Mohamed Becker,37,Uruguay,Atletico Madrid,76,78,73,77,73,69,80,61300538
Angel Gavi,35,England,Juventus,87,88,87,86,98,91,85,68838245
Andre Alcantara,18,England,Manchester City,64,72,47,68,55,60,62,53975713
Pedri Suarez,38,France,Real Madrid,62,62,68,67,54,68,55,49367256
Eduardo Pedri,37,Argentina,AC Milan,73,76,64,57,68,59,75,59323759
Luka Nunez,31,England,Leipzig,76,79,86,74,87,92,80,60642695
Erling Becker,33,Italy,Chelsea,50,55,51,54,42,48,60,41061360
Harry Mendy,33,Norway,Arsenal,74,88,72,71,82,64,68,62648427
Jan De Bruyne,22,USA,Manchester City,74,85,71,71,70,70,74,61386821
Phil Felix,20,Spain,Manchester United,56,56,52,60,46,58,63,44504615
Alisson Mane,22,Uruguay,Juventus,71,71,59,77,65,73,72,56467374
Paul Gundogan,33,Netherlands,Inter Milan,79,84,77,81,77,91,80,64364670
Kevin Busquets,40,Spain,Bayern Munich,66,67,58,61,63,65,73,51968301
Ruben Mahrez,24,Uruguay,Atletico Madrid,78,78,74,75,75,74,76,61867485
Benjamin Reus,35,Netherlands,Manchester City,70,74,67,59,59,67,71,56805030
Sadio Modric,38,Korea,Inter Milan,75,80,60,80,78,73,80,60663512
Luka Valverde,24,Spain,Manchester City,77,77,97,74,91,71,84,60163762
Lionel Di Maria,28,Norway,Leipzig,80,94,81,74,93,71,94,67573565
Jan Hernandez,39,Croatia,Manchester City,59,62,61,63,69,53,58,47030171
Luis Mount,17,Morocco,Chelsea,63,70,68,73,59,65,62,52300892
Federico Haaland,37,USA,Ajax,79,87,92,76,78,66,79,65399504
Declan Messi,30,Korea,Chelsea,56,65,53,44,62,54,47,47201753
Marco Mount,39,USA,Roma,73,83,58,81,69,55,66,60123172
David Foden,28,Argentina,Real Madrid,51,59,55,47,54,64,52,43466849
Karim Ronaldo,30,Korea,Manchester United,62,64,70,67,63,58,63,50046198
Karim Courtois,23,Morocco,Liverpool,94,94,99,87,97,99,86,74756591
Riyad Busquets,19,Spain,Manchester United,77,77,76,70,77,86,76,60823266
Sergio Foden,36,Germany,Juventus,54,57,46,44,44,54,64,43358403
Darwin Felix,22,England,AC Milan,74,78,84,72,73,81,74,59334748
Sergio Becker,33,Korea,Dortmund,61,64,69,60,69,66,59,49558994
Thomas Dias,25,USA,Roma,67,73,72,67,72,72,61,54353101
Vinicius Foden,36,Norway,Ajax,65,65,66,54,72,60,60,52085641
Robert Dias,25,Argentina,Manchester United,63,70,65,62,52,53,67,52142583
Riyad Kane,21,Korea,Leipzig,72,73,76,65,63,62,71,58254632
Neymar Benzema,20,Spain,Manchester United,72,72,68,52,63,73,72,57146769
Bernardo Kane,25,Spain,AC Milan,74,77,72,59,73,65,80,60417376
Karim Gundogan,38,Belgium,Barcelona,63,63,72,61,73,63,53,48674071
Mason Benzema,34,Netherlands,PSG,69,69,69,65,53,68,81,54945767
Darwin Mbappe,25,England,Leipzig,67,67,70,59,61,78,73,53961457
Manuel Salah,21,Portugal,Manchester United,62,62,73,58,52,59,62,49291777
Thomas Nunez,32,Belgium,Bayern Munich,95,99,99,99,86,90,86,76545813
Lionel Mane,22,Norway,Arsenal,86,88,67,74,66,75,87,68967062
Lionel Gavi,38,Croatia,Sevilla,60,60,62,55,49,55,59,48206610
Achraf Gundogan,18,Brazil,Barcelona,83,89,76,82,78,85,85,66895147
Erling Silva,20,Netherlands,Real Madrid,80,81,89,70,95,82,76,63861748
Ilkay Messi,24,Uruguay,Liverpool,71,78,66,75,68,69,70,57618435
Angel Messi,19,Germany,Chelsea,79,88,77,78,65,74,65,66478929
Darwin Mendy,27,USA,AC Milan,78,78,72,91,87,84,81,62069078
Bernardo Gavi,38,Argentina,Atletico Madrid,68,80,67,61,72,56,74,57241698
Cristiano Pogba,17,Germany,Chelsea,61,61,61,59,61,65,63,47845735
Thiago Valverde,20,USA,Liverpool,95,95,99,94,99,89,96,76367022
Sergio Valverde,37,Spain,Arsenal,58,58,73,60,66,51,55,46071808
Vinicius Pedri,28,Korea,AC Milan,65,65,67,68,73,80,68,51192924
Sergio Mbappe,24,Croatia,Dortmund,75,82,65,72,84,68,71,60758739
Erling Junior,27,Brazil,Manchester United,76,76,84,74,83,61,75,60715638
Riyad Foden,40,Netherlands,Arsenal,73,74,75,68,65,77,62,57656099
Darwin Junior,32,Brazil,Juventus,72,83,77,67,78,67,71,61175423
Robert Ronaldo,23,Spain,Roma,67,73,70,61,71,69,65,54840045
Diogo Felix,32,Portugal,Juventus,59,63,68,56,53,60,61,47212313
Bruno Rice,29,Japan,Chelsea,70,70,78,53,68,59,82,56078551
Karim Benzema,33,USA,Juventus,90,90,92,85,76,94,93,71248665
Thiago Hernandez,34,Morocco,PSG,70,70,71,89,66,57,68,55506692
Diogo Mbappe,30,Germany,PSG,88,91,98,88,75,94,79,70579773
Achraf De Bruyne,29,Germany,Juventus,77,88,64,75,53,72,75,65145219
Pedri Pedri,30,Argentina,Inter Milan,62,62,61,63,56,59,52,48348171
Riyad Alcantara,24,Japan,Leipzig,69,77,69,60,62,69,79,57477391
Marcus Silva,34,Japan,Dortmund,77,81,80,82,86,88,64,61616083
Thomas Reus,20,Argentina,Liverpool,66,68,78,70,60,61,63,53547665
Achraf Reus,21,England,Inter Milan,63,63,72,57,62,53,62,50352237
Luis Valverde,38,Germany,Ajax,66,66,77,77,64,60,65,52891039
Lionel De Bruyne,26,Norway,Juventus,69,76,70,70,59,67,75,56682600
David Rashford,19,Italy,Leipzig,60,62,65,66,57,57,57,48332178
Riyad Courtois,34,Morocco,PSG,79,79,79,96,65,75,76,63461843
Joao Rice,29,Italy,Dortmund,86,86,97,75,86,76,90,69052168
Kevin Suarez,26,Germany,Dortmund,82,84,75,84,81,95,83,66093718
Joao Camavinga,38,England,Juventus,77,78,66,89,69,71,73,61080571
Marc Reus,19,USA,Liverpool,87,97,89,85,72,95,83,72460418
Manuel Nunez,25,Italy,Ajax,58,61,55,67,58,59,59,46582545
Jude Reus,30,Uruguay,Leipzig,77,80,83,80,70,81,66,62718082
Joao Dias,37,England,Chelsea,95,95,92,89,95,95,99,75607013
Neymar Hernandez,26,Norway,Arsenal,50,52,47,57,45,47,55,40409556
Thiago Rice,21,England,Dortmund,79,92,78,78,91,83,70,66841597
Mason Mahrez,20,USA,Ajax,69,76,44,73,70,82,69,56221447
Achraf Felix,29,France,Dortmund,62,63,67,66,64,62,69,48565530
Sadio Silva,40,England,Manchester United,68,68,62,71,51,69,84,54584360
Karim Pavard,19,Norway,PSG,80,85,89,77,71,82,80,64155648
Bernardo De Bruyne,25,Uruguay,Real Madrid,92,99,99,99,74,91,89,75757446
Ilkay Reus,31,Japan,Manchester City,65,67,51,65,57,68,65,52849188
Manuel Benzema,17,Korea,Barcelona,69,75,71,70,60,72,65,56293886
Ederson Courtois,28,Netherlands,Manchester City,70,82,74,76,60,74,73,58320436
Darwin Rashford,19,Germany,Barcelona,59,71,55,53,61,49,65,50374141
Ruben Pogba,25,Spain,PSG,64,70,58,53,49,54,68,52283192
Angel Mane,26,Korea,Bayern Munich,75,82,95,65,83,89,75,60766582
Federico Di Maria,22,Morocco,Inter Milan,86,91,96,87,86,70,78,68938396
Joao Valverde,39,Portugal,Dortmund,70,70,61,88,70,66,74,56150655
Harry Dias,29,Belgium,Real Madrid,81,91,85,83,95,88,88,66308961
Eduardo Di Maria,38,Croatia,Manchester United,77,77,82,70,82,70,61,60265732
Andre Jota,38,Portugal,Real Madrid,74,74,78,69,81,77,66,58012139
Diogo Gavi,38,Japan,Manchester City,81,85,65,87,74,81,80,66217066
Bernardo Alcantara,38,Netherlands,Barcelona,75,77,83,79,79,91,71,59084705
Sadio Mahrez,31,Morocco,Bayern Munich,70,86,70,75,59,77,71,61062807
Riyad Jota,29,Portugal,AC Milan,59,63,63,75,59,62,64,48450381
Paul Jota,23,Japan,PSG,77,77,65,76,86,66,80,61443614
Robert Becker,18,Morocco,Bayern Munich,66,66,72,53,75,67,68,52244651
Thomas Pavard,31,Spain,Manchester United,69,74,71,66,57,69,72,55825505
Sergio Valverde,35,Italy,Inter Milan,71,82,75,66,65,76,57,60175582
Diogo Felix,35,Brazil,Chelsea,63,65,59,68,62,61,64,51023821
Angel Junior,25,Portugal,Manchester City,92,96,99,91,86,95,88,73885400
Manuel Pavard,25,Netherlands,PSG,75,81,80,83,77,66,76,62033100
Ruben Gavi,33,Croatia,PSG,77,83,77,65,79,70,82,63313999
Marc Modric,17,Argentina,Chelsea,73,79,68,70,79,84,75,58952979
Lionel Nunez,24,Korea,Manchester City,73,75,82,76,79,59,69,59105624
Diogo Reus,38,England,Manchester United,75,75,86,71,72,67,64,59085539
Eduardo Becker,17,USA,Roma,76,81,84,84,64,73,75,61685478
Diogo Kane,33,Italy,Juventus,60,60,52,61,55,61,61,46626424
Rodrygo Ronaldo,39,Netherlands,Roma,84,95,81,84,92,91,72,69323838
Marcus Camavinga,29,Germany,Roma,63,63,68,56,69,68,51,49204021
Lionel Kane,21,Uruguay,Real Madrid,81,81,77,65,91,78,79,64754025
Luka Benzema,31,Belgium,Arsenal,82,82,82,76,80,89,74,64631339
Thiago Di Maria,19,Belgium,Leipzig,60,60,66,55,62,66,63,48172978
Gavi Suarez,37,Korea,Arsenal,60,60,71,54,60,53,63,46364307
Thomas Gundogan,31,Croatia,Inter Milan,65,72,69,58,68,74,67,53421219
Eduardo Pedri,36,Norway,Ajax,60,68,54,63,60,63,58,50128483
Pedri Silva,29,Japan,Chelsea,56,68,41,59,54,75,60,48245594
Sergio Felix,37,Portugal,Ajax,69,72,73,59,61,53,59,55271605
Manuel Modric,20,Spain,Arsenal,86,99,99,83,80,83,85,71790620
Darwin Mbappe,25,Portugal,Chelsea,56,56,59,53,61,60,56,45207713
Marcus Felix,32,France,Barcelona,69,77,58,71,74,74,70,56028729
David Modric,23,Spain,Barcelona,91,94,90,96,76,93,91,73536613
Declan Junior,31,USA,PSG,51,54,45,44,51,46,63,40605716
Angel De Bruyne,27,Brazil,Atletico Madrid,52,55,60,45,40,48,47,41371810
Bernardo Nunez,25,Spain,Arsenal,75,77,82,82,71,70,78,59393970
Karim Mahrez,40,USA,AC Milan,67,67,73,72,66,71,49,52245501
Achraf Rice,23,USA,Chelsea,75,75,74,82,71,77,83,60413223
Robert Pogba,27,Uruguay,Bayern Munich,81,82,92,93,77,71,73,64001510
Riyad Kane,20,USA,AC Milan,65,76,64,62,65,67,58,54034784
Paul Dias,20,Netherlands,Manchester City,93,95,92,94,88,97,90,75358817
Benjamin Junior,30,Japan,Chelsea,94,99,99,91,99,81,92,76168567
Bernardo Kane,31,Germany,Chelsea,85,89,82,91,77,88,86,67825972
Gavi Hernandez,35,Italy,Atletico Madrid,88,91,86,81,85,91,87,70584203
Neymar Mane,25,Argentina,Chelsea,74,76,69,64,70,72,71,60200626
Neymar Lewandowski,27,Norway,Bayern Munich,79,86,76,71,77,86,77,64493180
Luis Pogba,33,Brazil,Juventus,64,67,75,73,67,69,71,50520768
Manuel Mane,40,Argentina,Bayern Munich,72,72,58,62,71,80,78,56243729
Robert Lewandowski,38,Brazil,Inter Milan,79,88,65,85,71,68,74,64476556
Kylian Felix,21,Spain,Roma,76,76,85,74,72,74,61,61131940
Eduardo Foden,37,Japan,Manchester City,63,64,57,60,61,56,62,49812148
Alisson Silva,37,Brazil,Inter Milan,74,74,80,77,71,80,61,59171342
David Lewandowski,23,Japan,Atletico Madrid,78,83,78,68,78,71,81,62852701
Darwin Foden,26,Brazil,Atletico Madrid,81,82,79,86,75,89,84,64208883
Manuel Fernandes,34,Netherlands,Leipzig,65,70,62,71,74,69,77,53457815
Cristiano Benzema,40,Croatia,Manchester City,55,62,75,58,57,51,61,46240876
Cristiano Foden,33,Japan,Real Madrid,74,81,68,69,82,72,64,60773189
Achraf Rice,34,Spain,Arsenal,68,68,54,64,71,80,66,52774237
Bruno Camavinga,17,Morocco,Dortmund,72,73,65,62,74,72,72,57619856
Sergio Nunez,19,Argentina,Chelsea,77,79,97,69,72,82,69,61590229
Eduardo Mahrez,34,Belgium,PSG,67,76,70,70,60,64,60,54698393
Gavi Mahrez,33,Argentina,Inter Milan,73,73,87,91,62,60,78,58374099
Marc Ronaldo,23,Germany,Ajax,68,76,72,71,74,59,69,56020032
Thomas Ter Stegen,18,Germany,Chelsea,60,62,55,50,55,55,56,48701202
David Mendy,25,Argentina,Juventus,68,77,63,63,59,72,62,57238251
Diogo Becker,31,USA,Manchester City,62,62,51,74,68,75,59,48060442
Neymar Fernandes,31,Spain,Manchester United,76,76,73,73,89,91,75,60066156
Federico Haaland,30,Argentina,Dortmund,79,89,82,75,88,80,75,65769006
Sadio Mane,36,USA,Manchester City,75,75,75,82,80,74,80,59487641
Luis Mbappe,38,Italy,Atletico Madrid,70,70,83,73,59,64,72,56209803
Lionel Messi,17,France,Leipzig,68,68,75,60,54,59,75,53107004
Mason Busquets,30,Croatia,AC Milan,79,79,84,73,81,76,92,61788692
Achraf Dias,33,France,Arsenal,68,68,63,68,68,72,68,54120835
Neymar Di Maria,21,Norway,Liverpool,89,99,81,80,89,89,85,74203837
Riyad Benzema,21,Brazil,Barcelona,58,58,51,60,59,52,49,45624848
Kevin Fernandes,35,Croatia,Chelsea,70,77,87,77,70,63,71,57736493
Marc Dias,35,Netherlands,AC Milan,83,89,82,80,78,69,81,67682485
Ederson Mbappe,29,Argentina,Manchester United,75,75,76,63,70,79,78,58986011
Jan Felix,20,Italy,Juventus,83,84,82,87,97,81,81,65900134
Federico Mount,23,Morocco,Leipzig,86,93,74,92,87,94,70,71199911
Luka Modric,30,England,Real Madrid,72,73,77,63,70,61,73,57635243
Ruben Ronaldo,22,USA,Manchester City,70,70,76,71,63,72,65,55224627
Marcus Gundogan,33,Netherlands,Inter Milan,52,56,60,47,48,64,47,43092796
Gavi Benzema,26,Korea,Dortmund,71,71,64,75,69,76,78,57034393
Riyad Dias,18,France,Dortmund,66,69,63,69,65,74,68,53658483
Cristiano Silva,17,Croatia,Juventus,70,73,63,66,62,72,67,55873682
Eduardo Alcantara,29,Brazil,Chelsea,63,69,68,65,55,61,76,51240720
Marc Gundogan,38,Korea,PSG,89,89,88,88,86,82,87,69717164
Paul Suarez,19,Germany,Chelsea,74,74,76,77,58,67,80,59011038
Thiago Gundogan,17,England,Manchester United,70,73,54,62,62,73,72,55715340
Marcus Dias,29,Portugal,Manchester United,64,64,63,75,69,67,58,50397006
Joao Jota,20,Brazil,Barcelona,66,66,65,49,69,81,54,51987206
Mohamed Gundogan,26,Netherlands,Manchester City,70,70,69,74,72,75,74,54632579
Ederson Mbappe,22,Morocco,Real Madrid,69,69,83,72,65,70,71,55197486
Luis Benzema,20,England,Arsenal,53,62,46,56,40,53,40,44317620
Andre Busquets,28,Spain,Leipzig,77,77,76,72,69,83,65,61008643
Kevin Dias,26,Germany,Manchester United,75,75,71,78,73,62,70,60161483
Jan Reus,26,Korea,Real Madrid,63,76,57,58,74,63,61,53522734
Phil Jota,37,England,Atletico Madrid,73,79,71,70,70,67,73,59576833
Alisson Messi,34,France,Manchester City,90,98,90,83,91,84,91,73195739
Harry Silva,30,Japan,Ajax,86,97,80,99,86,83,86,71071189
Sergio Ronaldo,20,Netherlands,AC Milan,79,79,75,82,71,87,88,62197188
Angel Suarez,21,Japan,Inter Milan,82,92,84,80,74,66,85,67472650
Darwin Salah,20,USA,Sevilla,62,62,66,56,53,62,60,48964265
Lionel Modric,32,Argentina,Ajax,67,67,73,65,79,72,70,52649361
Paul Modric,35,France,Real Madrid,78,82,77,66,77,72,72,62860099
Neymar De Bruyne,39,Japan,Sevilla,80,80,62,69,77,85,88,63611283
Darwin Di Maria,21,Portugal,Sevilla,58,63,52,59,67,67,62,47356825
Alisson Kane,29,Uruguay,Manchester United,70,70,65,78,66,67,59,54445083
Erling Rice,32,Norway,Manchester United,64,64,59,55,63,65,61,50256663
Lionel Silva,24,Brazil,Manchester City,61,61,56,60,60,51,58,48419574
Thomas Lewandowski,31,Norway,Arsenal,68,68,68,68,71,66,69,54005550
David Felix,33,USA,Barcelona,83,88,89,86,85,96,89,68107242
David Junior,25,Argentina,AC Milan,75,75,63,70,71,78,69,59306194
Riyad Becker,31,Italy,Ajax,73,77,62,69,54,87,72,58227801
Eduardo Junior,18,France,Roma,73,73,62,67,70,67,71,57460959
Ruben Mount,35,Spain,Inter Milan,73,88,67,78,75,64,79,61493692
Joao Modric,32,England,Atletico Madrid,74,74,81,72,66,77,65,59429065
Neymar Alcantara,17,Korea,PSG,70,73,68,66,69,66,67,55867598
Riyad Courtois,40,Italy,Atletico Madrid,75,78,70,68,95,80,72,60153209
Joao Kane,24,Spain,Liverpool,77,80,73,79,84,64,85,61707580
Ruben Fernandes,18,Norway,PSG,86,87,76,83,94,70,81,69012605
Erling Haaland,22,Belgium,Roma,64,64,62,65,64,54,62,50873931
Joao Salah,21,Morocco,Bayern Munich,64,64,67,73,60,73,68,50199797
Benjamin Ronaldo,29,Korea,Arsenal,65,72,73,60,62,62,69,54017858
Bruno Suarez,27,France,Bayern Munich,71,80,73,72,66,66,62,58225075
Andre Di Maria,17,Italy,PSG,83,88,95,87,85,96,78,66938190
Karim Reus,24,Uruguay,Sevilla,73,78,66,76,99,65,80,58496706
Riyad Fernandes,19,Croatia,Dortmund,61,72,48,64,54,56,68,50802394
Declan Suarez,36,Norway,Dortmund,61,61,75,55,63,60,67,48547986
Thomas Camavinga,18,Croatia,Dortmund,74,74,73,79,74,71,54,59669604
Mason Kane,33,Argentina,Arsenal,65,71,68,72,64,68,74,53923488
Bernardo De Bruyne,33,Italy,PSG,64,72,62,56,70,62,60,53293523
Kylian Benzema,25,Italy,Bayern Munich,87,98,87,94,77,90,97,72642345
Neymar Mahrez,17,Korea,Barcelona,72,73,70,74,62,61,69,57361020
Ruben Mbappe,39,England,Inter Milan,83,84,74,73,83,78,84,66045645
Alisson Junior,35,USA,Liverpool,76,76,82,76,68,80,70,59658026
Ruben Mahrez,22,Germany,PSG,95,96,99,88,72,99,93,75618285
Diogo Fernandes,36,Spain,Leipzig,81,82,87,82,73,83,76,65035254
Rodrygo Camavinga,40,France,Inter Milan,70,78,65,76,70,61,78,58166571
Luis Suarez,28,Germany,Juventus,54,64,72,56,47,63,53,45393475
Angel Messi,38,Korea,Atletico Madrid,95,96,99,93,99,88,90,76386008
Mason Modric,20,Spain,Leipzig,78,80,71,84,74,76,60,62496180
Mohamed Reus,21,Uruguay,AC Milan,58,64,48,59,63,50,65,47024540
Angel Mount,19,Italy,Arsenal,61,72,67,58,65,58,57,52565476
Karim Haaland,31,Portugal,Ajax,81,81,86,87,72,85,80,64444088
Sergio Camavinga,21,Portugal,Inter Milan,65,67,57,71,56,56,70,52941183
Kevin Mount,39,Belgium,Manchester United,92,92,99,85,94,94,99,73449793
Ilkay Hernandez,17,Norway,AC Milan,81,81,81,77,75,77,80,64915157
Marcus Camavinga,23,Italy,Ajax,74,81,68,69,85,62,78,61568032
Thiago Mount,32,Belgium,Manchester City,50,52,59,53,62,65,51,40016673
Benjamin Camavinga,19,Germany,Manchester City,63,68,59,65,62,64,57,50831042
Paul Dias,35,Italy,Ajax,52,57,53,64,49,61,56,43312211
Cristiano Felix,17,Belgium,AC Milan,73,76,61,71,83,81,72,58672244
Angel Pedri,26,Italy,Real Madrid,79,82,84,72,65,82,77,63632887
Joao Becker,21,England,AC Milan,68,72,57,70,81,71,74,55994399
Karim Haaland,37,Netherlands,Inter Milan,85,87,73,97,83,90,99,67308083
Thomas Felix,31,Brazil,Leipzig,67,67,61,64,65,68,56,52174071
Mason Lewandowski,20,Korea,Manchester City,94,94,94,85,82,91,94,75123063
Jude Jota,24,Belgium,Leipzig,57,60,51,50,71,56,47,46784173
Angel Kane,40,Japan,Manchester United,76,76,87,77,77,75,81,59294220
Pedri Pedri,17,Norway,PSG,80,90,87,70,84,84,86,66272239
Robert Rice,34,Norway,Chelsea,60,60,47,67,66,49,52,46540945
Marcus Silva,23,Belgium,Inter Milan,56,64,63,45,40,53,52,47129258
Karim Alcantara,22,Uruguay,Arsenal,73,76,79,79,71,77,69,58873968
Thiago Di Maria,28,Netherlands,Inter Milan,63,65,67,53,65,60,69,50849715
Marco Felix,31,USA,Real Madrid,75,82,85,73,76,71,82,61004657
Manuel Mount,39,England,Leipzig,68,68,62,82,72,72,59,52821808
Thomas Dias,29,England,PSG,89,89,99,87,84,91,93,70494225
Thiago Reus,39,Germany,Roma,60,64,54,64,56,52,68,48306731
Eduardo Benzema,28,Morocco,Atletico Madrid,74,76,70,64,74,72,70,58919253
Ruben Rice,22,USA,Inter Milan,66,66,63,63,74,56,64,51574644
Thiago Messi,27,Italy,Atletico Madrid,62,62,55,68,61,60,61,49069171
Manuel Mane,24,Brazil,AC Milan,59,70,77,50,62,59,61,49962416
Luis Ronaldo,35,Korea,AC Milan,66,67,61,69,74,68,69,52447371
Lionel Rice,26,USA,Chelsea,82,82,63,83,99,90,82,65888550
Sadio Benzema,28,Croatia,Leipzig,54,54,69,55,44,57,56,43615490
Ilkay Kane,18,Korea,Dortmund,75,76,66,75,64,78,80,60331856
Karim Hernandez,34,Korea,Manchester City,81,89,70,88,91,80,83,66911417
Thiago Foden,29,Italy,Real Madrid,70,79,81,81,67,66,61,57848300
Thomas Jota,40,Italy,Bayern Munich,86,86,73,93,85,82,83,67226723
Bernardo Modric,21,France,Roma,74,74,56,84,65,77,73,58447533
Mohamed Pedri,29,Croatia,Barcelona,76,76,65,73,93,81,85,59815393
David Reus,19,Brazil,Juventus,66,70,63,56,66,66,62,53725829
Federico Suarez,31,Argentina,Inter Milan,57,57,55,59,70,55,76,45001663
Benjamin Rashford,40,Germany,Arsenal,62,68,61,55,46,63,66,51015568
Rodrygo Di Maria,36,Morocco,Dortmund,72,74,58,71,65,60,70,56682586
Marcus Fernandes,38,USA,Arsenal,74,78,62,67,77,77,58,59059235
Jan Benzema,18,Japan,Chelsea,50,50,54,51,40,63,50,38662412
Mason Pavard,18,Croatia,Inter Milan,58,60,76,49,60,57,53,46943925
Rodrygo Dias,23,Italy,Liverpool,81,85,74,80,76,82,96,64972865
Kylian Jota,29,Belgium,PSG,69,69,73,59,70,63,66,53718827
Luis Busquets,20,Brazil,Sevilla,73,73,67,68,76,64,75,57922323
Jan Jota,18,Japan,PSG,71,81,76,82,77,56,62,59825625
Jan Mendy,27,Japan,Leipzig,82,90,79,77,85,80,74,68266837
Jude Kane,23,Argentina,Ajax,68,70,64,72,55,73,78,55217172
Marco Foden,33,Norway,Manchester United,85,85,80,82,78,83,83,67336113
Federico Jota,27,England,PSG,91,91,85,98,87,89,96,73116844
Alisson Busquets,21,Morocco,Manchester City,76,82,73,87,73,78,79,62489042
Lionel Salah,24,Morocco,Ajax,73,80,72,84,87,66,71,60125614
Benjamin Reus,30,Uruguay,PSG,73,74,75,67,58,64,72,57165441
Lionel Becker,17,Portugal,AC Milan,78,81,77,82,82,79,74,62145435
Sadio Hernandez,31,Spain,Manchester City,73,73,89,65,71,82,79,57275948
Angel Mane,25,Uruguay,Manchester City,87,90,80,97,79,91,89,69777380
Achraf Camavinga,40,France,Chelsea,79,88,99,76,87,82,76,65404263
Jan Rashford,23,Argentina,Roma,57,57,52,43,50,64,57,44781397
Vinicius Pavard,33,Croatia,Leipzig,70,71,56,65,77,60,68,55559160
Eduardo Mbappe,40,Uruguay,Ajax,68,76,62,71,65,59,62,56957630
Andre Pogba,33,Germany,Liverpool,56,63,61,54,53,43,53,46404831
Gavi Messi,20,Netherlands,Liverpool,74,86,65,86,79,83,77,63358796
Bruno Silva,36,Morocco,Real Madrid,81,81,85,79,77,72,70,64010601
Alisson Mount,40,Norway,Atletico Madrid,83,92,68,83,81,87,85,67985510
Darwin Salah,39,USA,Roma,87,92,86,83,81,83,98,69322289
Ilkay Benzema,38,England,PSG,81,81,81,78,94,85,83,63879996
Harry Lewandowski,30,Germany,Atletico Madrid,95,95,93,99,81,99,99,75310833
Sergio Suarez,28,Norway,Inter Milan,78,81,72,80,65,73,82,62280320
Sadio Silva,35,Norway,PSG,77,88,78,79,84,82,78,63553990
Ilkay Mane,28,Portugal,Ajax,83,87,81,86,78,78,75,68031847
Mohamed Kane,31,USA,PSG,56,65,60,55,50,54,59,46309707
Vinicius Messi,22,Brazil,Leipzig,51,64,42,46,40,48,40,44754464
Phil Salah,30,Netherlands,Ajax,68,68,88,71,59,64,65,54039971
Manuel Courtois,33,Spain,Liverpool,84,84,85,83,91,77,84,66656476
Lionel Junior,26,Netherlands,Arsenal,75,76,77,69,84,83,82,60640728
Darwin Di Maria,23,Norway,Liverpool,74,74,62,89,81,75,75,58987765
Neymar Junior,39,Uruguay,Manchester United,77,80,78,80,76,82,79,62123614
Pedri Mount,25,Croatia,Liverpool,84,90,84,87,76,86,81,68351314
Andre Haaland,38,USA,Sevilla,65,70,63,67,77,62,62,52731265
Jude Mount,22,Uruguay,AC Milan,68,70,78,71,70,66,61,54368272
Achraf Pedri,34,Spain,Chelsea,59,59,62,52,51,59,64,46446930
Ilkay Gundogan,21,Japan,Leipzig,88,89,99,83,92,90,79,69821931
Neymar Valverde,32,Morocco,Manchester City,79,84,77,91,81,75,75,63450664
Jude Haaland,36,Portugal,Bayern Munich,51,64,64,65,53,51,64,44338293
Harry Fernandes,27,Belgium,Manchester City,66,76,65,68,77,69,64,55647635
Pedri Benzema,19,Japan,Leipzig,68,72,69,72,69,67,66,55616574
Ruben Mount,29,Germany,AC Milan,71,74,79,72,93,70,80,57336613
Achraf Valverde,19,Netherlands,Bayern Munich,86,86,84,86,97,93,87,68233029
Harry Pogba,29,Morocco,Inter Milan,70,75,75,57,67,85,67,55985253
Phil Lewandowski,30,Japan,Barcelona,72,72,76,67,65,65,68,57430855
Harry Alcantara,31,Italy,Chelsea,65,65,63,66,56,54,52,51441573
Manuel Messi,32,Spain,Leipzig,85,91,85,84,96,83,96,69163563
Marcus Dias,27,USA,PSG,89,89,80,86,85,99,94,70853803
Riyad Foden,31,Belgium,Ajax,59,63,51,54,44,59,54,47915806
Alisson Mount,21,Korea,Leipzig,50,62,40,64,49,45,45,42652222
Bruno Salah,17,Croatia,Liverpool,68,77,68,62,72,66,67,56251398
Joao Rashford,38,France,Leipzig,82,82,68,85,92,84,78,65496909
Sergio Nunez,32,Norway,Juventus,57,59,50,44,79,57,52,46113841
Achraf Haaland,25,Spain,Juventus,95,99,90,90,82,97,88,76318330
Federico Hernandez,25,Belgium,Atletico Madrid,82,82,78,81,63,86,84,65527648
Thomas Mahrez,25,Germany,PSG,76,86,77,62,84,69,67,62998049
Luis Salah,21,Korea,Atletico Madrid,77,77,76,76,72,71,78,61119824
Manuel De Bruyne,35,Spain,Sevilla,74,76,65,76,83,71,81,58916215
Bernardo Ronaldo,28,Croatia,Barcelona,78,82,72,81,85,75,66,62133661
Sergio Gundogan,40,Croatia,Inter Milan,82,91,76,75,76,81,86,66638740
Ruben De Bruyne,40,Uruguay,Leipzig,80,83,88,80,78,87,89,64109409
Rodrygo De Bruyne,18,Uruguay,Liverpool,66,68,66,68,62,73,59,53227814
Ruben Courtois,27,Morocco,Arsenal,68,69,82,74,56,69,56,53792384
Eduardo Mbappe,39,Croatia,Manchester United,62,64,65,64,57,70,61,50026224
