player_name,age,nationality,club,league,position,overall,potential,pace,shooting,passing,dribbling,physical,matches,goals,assists,minutes,injury_count,market_value
Sadio Junior,31,Norway,PSG,Saudi League,LB,79,81,83,80,90,56,91,28,7,7,1708,2,79530000
Ruben Becker,35,Belgium,Chelsea,Serie A,CM,76,85,93,62,65,88,69,43,14,13,3827,3,79600000
Harry Ter Stegen,22,Chile,PSG,Ligue 1,RB,81,86,80,67,80,86,80,35,11,7,2625,0,83110000
Bruno Hernandez,39,Spain,PSG,Serie A,RB,67,69,75,70,81,51,71,13,5,2,1118,5,67270000
Pedri Ter Stegen,27,Croatia,Benfica,Eredivisie,CB,63,73,61,60,64,86,83,38,8,6,1900,1,66860000
Alisson Rice,19,Spain,AC Milan,Bundesliga,LB,61,61,89,52,66,53,60,37,10,10,1887,2,61120000
Harry Di Maria,33,Morocco,Barcelona,Eredivisie,CM,54,57,56,55,38,35,70,50,15,9,2500,3,55290000
Lionel Reus,30,USA,Al Hilal,Ligue 1,CB,65,66,46,69,69,60,63,40,15,7,2200,3,65550000
Mohamed Dias,38,USA,Chelsea,Premier League,RM,73,77,73,61,75,73,79,29,9,8,2465,4,74290000
David Kane,37,Uruguay,Chelsea,Eredivisie,CB,58,58,51,63,56,56,56,22,8,6,1914,2,57660000
Federico Ronaldo,28,USA,Atletico Madrid,Primeira Liga,CDM,81,83,80,90,65,68,73,13,7,2,1131,4,81590000
Cristiano Di Maria,30,Colombia,Bayern Munich,Premier League,RM,77,80,64,78,69,81,92,28,8,4,1876,3,78000000
Kevin Pavard,23,Argentina,Porto,Serie A,RW,75,75,79,78,79,84,78,19,8,4,1387,0,74940000
Ederson Lewandowski,19,Norway,Inter Milan,Premier League,RW,79,79,74,73,85,97,84,32,11,10,1984,0,79170000
Marcus Kane,27,Morocco,Liverpool,Premier League,LM,59,66,45,65,59,63,59,42,14,7,3360,2,61960000
Benjamin Havertz,30,Morocco,Juventus,Primeira Liga,ST,84,84,79,63,99,87,99,43,16,10,3311,3,84200000
Eduardo Suarez,40,England,Al Nassr,Eredivisie,LB,68,71,74,61,63,66,70,22,7,4,1804,0,68750000
Phil Benzema,23,Uruguay,Porto,Premier League,GK,71,80,84,85,80,82,74,30,10,6,1650,2,74640000
Kevin De Bruyne,33,Colombia,Inter Milan,Ligue 1,CDM,88,88,91,83,84,74,79,20,6,7,1080,2,87640000
Diogo Pogba,27,Uruguay,Bayern Munich,Premier League,ST,74,83,79,67,63,70,74,45,14,15,3600,4,77760000
Reece Busquets,29,Croatia,Manchester United,La Liga,LB,65,65,86,59,78,71,57,26,10,5,1378,0,64920000
Phil Dias,21,Japan,Porto,La Liga,RB,74,81,83,76,70,65,75,31,8,9,1922,0,76780000
Diogo Alcantara,33,Chile,Barcelona,Ligue 1,RB,85,85,86,96,96,69,81,34,14,8,1734,2,85040000
Kai Hernandez,17,Chile,AC Milan,Eredivisie,CF,80,84,71,69,75,82,67,14,3,0,1036,3,81410000
Gavi Foden,22,Norway,Al Hilal,La Liga,GK,71,73,82,71,54,73,57,45,16,8,3375,0,72160000
Paul Dias,26,Brazil,Arsenal,Serie A,CF,69,70,79,66,76,58,53,30,8,6,2130,2,69280000
Eduardo Camavinga,33,Brazil,Juventus,Premier League,RB,69,70,69,62,83,71,62,21,5,6,1386,5,68990000
Bernardo Haaland,36,Uruguay,Arsenal,Serie A,CAM,55,55,62,50,35,39,66,17,7,8,1003,0,54630000
Reece Kane,21,Morocco,Al Hilal,Primeira Liga,CDM,87,99,95,82,88,99,79,50,13,14,3800,1,92030000
Kylian Courtois,37,Brazil,Manchester City,Eredivisie,ST,91,99,95,99,99,72,99,23,8,5,1311,4,93860000
Lionel Reus,24,Croatia,AC Milan,Bundesliga,LB,67,76,64,78,67,69,73,15,4,4,1245,2,70320000
Karim Mahrez,22,Korea,Real Madrid,La Liga,GK,75,84,60,63,93,68,72,48,17,14,3360,2,79010000
Pedri Olmo,20,Chile,Sevilla,Saudi League,CDM,68,74,77,69,61,56,66,45,16,12,2340,5,70800000
Mason Hernandez,18,Germany,AC Milan,Primeira Liga,CAM,73,80,63,69,85,74,70,46,18,11,3542,5,76340000
Neymar Jota,33,Spain,Porto,Bundesliga,CAM,63,63,43,74,60,69,58,17,1,2,1258,3,62390000
Marcus Silva,28,Portugal,Atletico Madrid,Bundesliga,RW,58,58,60,59,71,52,66,25,10,5,1400,5,57940000
Rodrygo Junior,37,Chile,Manchester City,Bundesliga,CB,58,58,58,57,72,62,60,21,5,8,1575,5,57510000
Ferran Di Maria,18,Morocco,Al Nassr,Ligue 1,LM,82,82,93,99,87,78,98,10,1,2,770,2,81690000
Jude Dias,31,Norway,Chelsea,Ligue 1,LW,61,63,67,57,68,56,48,36,9,10,2664,0,61630000
Thomas Ter Stegen,21,Italy,Manchester City,Ligue 1,RM,95,97,99,82,97,99,99,42,14,12,3024,5,96080000
Jan Salah,35,Brazil,Porto,La Liga,GK,65,65,70,72,61,59,78,49,15,16,2646,2,65050000
Reece Fernandes,33,USA,Manchester United,Ligue 1,CAM,76,76,62,82,80,72,75,40,12,10,2840,5,75940000
Ederson Mahrez,27,Morocco,Benfica,Bundesliga,LB,63,65,73,65,57,80,68,24,7,10,2040,3,63610000
Ilkay Fernandes,32,Croatia,Manchester United,Bundesliga,CM,58,64,59,51,72,77,49,13,0,1,845,1,59760000
Diogo Ronaldo,40,Norway,Chelsea,Saudi League,CAM,76,85,80,88,69,67,57,46,17,10,2300,3,79650000
David Nkunku,23,Korea,Juventus,Primeira Liga,RM,63,71,62,51,60,58,54,50,17,15,3850,0,66590000
Josko Messi,24,Chile,Barcelona,Eredivisie,RW,78,78,63,84,75,82,71,28,7,6,2296,3,77870000
Marco Gundogan,19,England,Porto,Primeira Liga,RM,51,51,60,62,52,42,61,19,5,2,1558,4,50870000
Marcus De Bruyne,20,Germany,Manchester City,Serie A,CB,94,94,94,99,84,85,84,34,12,8,2244,0,94200000
Darwin Haaland,17,Spain,Bayern Munich,Premier League,RW,93,95,91,94,76,99,99,49,15,11,3332,5,94210000
Mohamed Felix,38,USA,Porto,Primeira Liga,RB,64,64,75,80,54,72,64,43,14,7,3483,2,63940000
Jude Messi,24,Italy,Sevilla,La Liga,RM,76,76,88,73,77,80,75,26,13,5,1794,1,76170000
Manuel Di Maria,19,Uruguay,Liverpool,Bundesliga,LB,65,65,59,72,69,75,74,13,3,2,1092,5,64770000
Phil Benzema,38,Brazil,Juventus,Saudi League,CF,68,70,68,71,56,68,65,21,5,4,1722,2,68290000
Ferran Ronaldo,26,USA,Al Nassr,Serie A,CB,89,89,79,99,95,78,92,24,6,5,1920,3,88780000
Harry Mahrez,20,Portugal,PSG,La Liga,CDM,86,98,99,85,82,86,80,25,4,6,1950,2,90600000
Manuel Olmo,33,Belgium,Barcelona,Saudi League,CM,61,66,58,63,69,60,64,38,13,10,2090,2,62990000
Kylian Olmo,33,Netherlands,Chelsea,Premier League,GK,68,71,61,52,59,71,60,20,7,8,1720,4,68890000
Reece Valverde,29,Chile,Ajax,Ligue 1,LB,50,55,58,41,35,65,67,36,8,7,2880,0,51820000
Manuel Junior,36,Chile,Arsenal,Serie A,CAM,77,78,60,84,77,73,75,31,9,10,2201,3,77130000
Karim Mendy,36,Japan,Manchester United,La Liga,ST,71,71,75,57,60,71,70,36,9,7,2340,2,70730000
Eduardo Ronaldo,23,Germany,Barcelona,Primeira Liga,ST,80,86,76,82,78,77,83,35,8,7,2065,5,82340000
Benjamin Di Maria,29,Italy,Porto,Ligue 1,CDM,72,82,75,68,67,82,75,41,16,5,3075,5,76220000
Gavi Modric,28,France,Liverpool,Serie A,LW,67,69,51,81,69,72,69,35,10,6,2520,0,67740000
Eduardo Haaland,23,Netherlands,Chelsea,Premier League,RM,65,75,61,51,53,47,76,21,6,4,1554,3,68840000
Luka Felix,27,USA,Dortmund,Eredivisie,LW,67,67,56,81,57,56,74,24,5,9,1440,4,66710000
Mohamed Rashford,33,France,Chelsea,Premier League,CAM,68,68,71,71,96,73,75,21,8,2,1596,4,67740000
Thiago Di Maria,23,Netherlands,Manchester City,Serie A,CDM,73,80,75,83,72,87,73,34,11,11,1938,5,75890000
Declan Felix,29,Germany,Chelsea,Bundesliga,GK,71,76,71,72,75,82,78,33,10,9,2805,0,72920000
Thomas Junior,32,England,Manchester City,Premier League,RM,71,73,65,72,67,64,57,18,7,3,1206,1,71510000
Mason Pogba,17,Morocco,Porto,Serie A,LM,85,87,99,94,77,94,95,43,11,9,2451,0,86010000
Marco Salah,27,Morocco,Bayern Munich,Bundesliga,RB,84,84,78,90,83,81,95,15,6,2,1260,5,83760000
Vinicius Havertz,25,Italy,Real Madrid,La Liga,CM,63,63,66,57,68,57,63,31,11,3,2201,3,63050000
Ilkay Rashford,20,Argentina,Porto,Serie A,LM,63,69,50,49,46,53,46,35,8,6,2660,4,65400000
Eduardo Rashford,34,Japan,Porto,Eredivisie,CM,78,79,62,71,77,58,75,42,15,14,2604,2,78470000
Neymar Ter Stegen,28,Argentina,Juventus,Ligue 1,CAM,67,68,61,67,81,61,77,32,13,6,2336,0,67490000
Jan Olmo,38,Uruguay,Al Nassr,La Liga,RM,52,56,39,51,62,53,44,13,5,3,1157,0,53090000
Kylian Benzema,39,Belgium,Barcelona,Serie A,CM,63,69,71,55,80,65,58,32,11,8,2272,2,65170000
Thiago Alcantara,27,Morocco,Porto,Premier League,ST,76,76,94,79,89,53,81,40,13,9,2240,0,76110000
Mason Felix,40,Netherlands,Bayern Munich,Serie A,RM,73,87,69,84,71,79,75,42,17,9,2898,0,78650000
Eduardo Busquets,26,Korea,Juventus,Serie A,CM,62,64,55,53,65,60,60,13,1,0,1040,3,62330000
Pedri Mount,40,Argentina,Al Hilal,Premier League,CDM,57,63,63,65,49,48,68,29,9,5,2146,4,59050000
Harry Felix,26,Portugal,Sevilla,La Liga,CAM,67,75,64,66,80,64,69,48,14,10,3456,4,70380000
Mason Gundogan,32,Netherlands,Al Nassr,Ligue 1,CB,61,64,77,56,74,68,58,22,8,7,1870,3,61960000
Ederson Messi,20,Chile,Bayern Munich,Premier League,CF,69,69,83,61,68,63,62,26,8,7,2080,1,69000000
Jude Lewandowski,33,Germany,Manchester City,Saudi League,LB,60,65,37,82,57,64,46,11,2,3,748,1,61440000
Luka Foden,25,Colombia,Dortmund,Bundesliga,CAM,58,58,63,41,47,58,65,38,12,9,2052,1,58100000
Jude Dias,40,Morocco,Al Hilal,Primeira Liga,RM,60,62,58,62,65,51,68,38,13,10,2546,4,60650000
Gavi Haaland,18,Portugal,Benfica,La Liga,CB,67,67,64,64,75,60,68,30,13,7,1830,4,67290000
Benjamin Junior,21,Netherlands,Barcelona,La Liga,LM,86,98,99,86,94,99,79,40,13,10,2480,3,91030000
Declan Musiala,33,Korea,Juventus,Premier League,CM,75,75,77,67,73,78,56,37,13,6,3108,5,74990000
Jan Dias,34,England,Porto,La Liga,LB,93,93,95,98,89,81,87,20,6,1,1400,3,92620000
Phil Becker,32,Germany,Manchester City,Ligue 1,RM,75,84,88,78,84,67,73,21,6,4,1659,4,78260000
Diogo Messi,24,Italy,Sevilla,Premier League,CM,73,78,67,60,86,87,77,42,15,10,2394,5,75270000
Mason Busquets,31,France,Porto,Bundesliga,RB,70,77,58,65,73,76,68,45,13,9,3375,2,72830000
Rodrygo Valverde,26,Portugal,Manchester United,Serie A,RB,88,88,99,65,84,81,95,47,18,13,2914,4,88380000
Ederson Reus,29,Netherlands,Atletico Madrid,La Liga,LW,50,50,46,53,41,35,67,43,11,9,2322,5,49970000
Josko Rashford,37,France,Al Nassr,Bundesliga,CM,65,66,53,46,47,55,57,14,6,4,714,5,64960000
Sergio Alcantara,19,England,Arsenal,Primeira Liga,RM,86,96,98,86,90,99,90,28,7,2,2380,0,89970000
Kai Messi,35,Italy,Manchester United,Eredivisie,LW,50,55,38,71,47,48,48,42,13,9,3570,3,51950000
Bruno Felix,21,Colombia,Liverpool,Premier League,LB,62,62,57,41,62,52,55,22,6,3,1474,0,61880000
Josko Alcantara,29,USA,Barcelona,Bundesliga,RW,70,76,59,79,72,77,72,37,13,9,2294,2,72470000
Manuel Jota,36,Uruguay,Bayern Munich,Eredivisie,ST,64,70,70,73,46,55,58,31,9,8,2728,5,66130000
Ederson Nkunku,27,Morocco,Juventus,Primeira Liga,CDM,75,75,76,74,81,70,54,14,3,2,924,3,74610000
Federico Messi,29,Brazil,Dortmund,La Liga,LB,78,87,85,73,78,87,94,47,11,13,3901,1,81570000
Achraf Nkunku,18,Norway,Liverpool,Eredivisie,RB,73,78,88,65,58,61,68,23,8,3,1265,3,75040000
Paul De Bruyne,26,Croatia,AC Milan,La Liga,CB,65,65,62,65,67,56,64,47,17,10,2350,0,65330000
Sergio Di Maria,38,Japan,Porto,Ligue 1,LB,51,60,52,46,53,51,53,13,3,3,1027,0,53990000
Ruben Messi,35,Morocco,Atletico Madrid,La Liga,CDM,50,55,70,43,63,53,36,44,16,16,2728,2,52100000
Kevin Rashford,22,Morocco,Arsenal,Saudi League,GK,95,95,99,99,99,87,94,46,16,10,3542,5,95360000
Luis Musiala,36,Morocco,Barcelona,Primeira Liga,RB,77,77,78,85,69,89,78,37,8,9,2072,2,76680000
Kevin Silva,17,USA,Inter Milan,Serie A,CM,77,82,68,51,67,76,59,34,11,8,2312,4,79210000
Manuel Ter Stegen,18,Netherlands,Manchester City,Ligue 1,LW,84,92,83,84,95,86,83,13,6,4,1118,0,87140000
Eduardo Foden,33,Uruguay,Barcelona,Ligue 1,RB,50,58,39,43,55,59,35,33,11,10,2178,1,53090000
Rodrygo Mendy,33,USA,PSG,Serie A,RW,77,82,86,88,75,82,78,36,11,5,2952,1,78890000
Kai Rashford,18,France,Al Nassr,Bundesliga,CM,68,71,73,65,66,72,64,45,14,11,3240,0,69540000
Karim Camavinga,35,Germany,Inter Milan,Premier League,CAM,60,61,50,63,64,55,51,39,13,11,3354,5,60350000
Riyad Junior,26,Spain,Inter Milan,Premier League,LW,59,66,69,60,57,58,50,27,8,4,2079,5,61680000
Luis Jota,28,Brazil,PSG,Eredivisie,LM,95,97,99,99,99,88,99,11,0,4,990,1,95240000
Ederson Busquets,37,Chile,Arsenal,Ligue 1,GK,69,73,62,46,72,58,67,13,5,4,975,5,70110000
Alisson Hernandez,40,Norway,Atletico Madrid,La Liga,CDM,79,85,94,88,59,85,69,40,14,12,2920,0,81300000
Angel Gundogan,18,Belgium,Chelsea,Primeira Liga,LW,81,94,96,70,69,83,87,39,15,8,3081,2,86590000
Ilkay Gundogan,34,Italy,Chelsea,La Liga,ST,81,85,71,77,84,82,80,45,13,9,3465,5,82570000
Rodrygo Becker,31,France,Manchester United,Premier League,LB,72,72,83,78,81,74,71,27,6,5,2349,3,71680000
Federico Musiala,39,Colombia,Dortmund,Eredivisie,CB,50,52,56,53,54,61,74,44,15,8,3168,0,50770000
Neymar Modric,19,Belgium,Arsenal,Primeira Liga,LW,74,74,73,76,71,61,75,42,13,10,2730,5,74270000
Erling Ronaldo,39,England,Manchester United,Serie A,CF,71,73,81,70,52,71,74,17,5,6,1479,5,71270000
Eduardo Salah,40,Spain,Barcelona,Bundesliga,LB,50,50,47,51,53,39,43,16,6,2,896,5,49500000
Mohamed Mane,29,England,AC Milan,Eredivisie,CM,74,79,76,50,82,64,85,31,12,6,2480,3,76020000
Manuel Ronaldo,18,USA,Al Hilal,Serie A,CAM,94,94,75,99,99,95,96,17,6,6,1020,1,93940000
Ederson Musiala,36,England,Atletico Madrid,Primeira Liga,CDM,65,70,74,65,59,69,65,44,14,12,2464,0,66980000
Alisson Mount,31,Italy,Real Madrid,Premier League,GK,79,82,74,58,81,67,87,19,9,4,1520,3,80030000
Andre Salah,27,Chile,Al Nassr,Bundesliga,CF,69,74,57,56,79,61,56,43,15,9,2193,1,71210000
Achraf Kane,21,Croatia,Al Nassr,Primeira Liga,GK,70,76,61,73,71,73,68,44,12,11,2508,4,72580000
Ruben Jota,34,Norway,Barcelona,Ligue 1,CM,63,63,52,86,84,79,58,19,8,2,950,5,62720000
Cristiano Salah,18,Italy,Manchester United,Premier League,LB,50,53,45,50,42,42,67,25,9,4,1825,3,51290000
Benjamin Lewandowski,32,Brazil,Atletico Madrid,Primeira Liga,CDM,67,69,77,59,60,73,50,24,9,3,2136,0,67610000
Thiago Di Maria,34,Argentina,Porto,Bundesliga,RM,85,86,98,85,89,71,92,39,14,7,2418,1,85420000
Marco Courtois,35,Uruguay,Bayern Munich,Saudi League,RW,80,80,93,79,62,71,72,42,16,8,3444,2,80100000
Manuel Rashford,27,Norway,AC Milan,La Liga,RM,73,75,60,65,93,70,64,47,15,13,2444,0,74010000
Marcus Nunez,32,Norway,AC Milan,La Liga,CB,74,74,73,84,57,63,64,25,8,5,1650,1,73760000
Declan Busquets,32,France,Real Madrid,La Liga,LW,70,80,78,91,71,66,63,14,3,6,840,1,73510000
Bruno Nunez,30,Spain,Ajax,Bundesliga,RM,74,78,65,58,62,62,70,44,13,14,3520,5,75650000
David Rice,36,England,Manchester United,La Liga,RB,62,62,71,76,76,64,57,47,16,16,3948,2,62080000
Ferran Dias,21,Italy,Benfica,Ligue 1,RW,75,82,71,56,74,84,85,39,19,6,1950,1,78330000
Kylian Silva,17,USA,Al Nassr,La Liga,CB,73,75,81,75,67,66,78,22,6,4,1650,2,73760000
Bernardo Ronaldo,25,Morocco,Real Madrid,Primeira Liga,RM,93,95,94,79,89,99,99,27,8,7,1485,3,93700000
Rodrygo Messi,23,Japan,PSG,Premier League,RM,95,98,99,89,97,99,99,17,8,0,1428,3,96140000
Phil Busquets,26,Germany,Ajax,Bundesliga,ST,81,81,72,79,81,78,71,21,5,8,1722,0,80730000
Riyad Camavinga,23,Spain,Manchester City,Saudi League,CF,78,87,70,63,88,72,81,21,6,5,1092,1,81440000
Darwin Pogba,32,Belgium,Chelsea,La Liga,LW,81,81,68,88,79,99,75,25,10,6,1725,2,80860000
Joao De Bruyne,33,Norway,Manchester United,Serie A,CB,72,72,81,57,74,65,78,21,6,7,1890,4,71640000
Benjamin Becker,32,Netherlands,AC Milan,Ligue 1,RM,63,66,83,71,47,82,53,17,7,5,1275,5,63910000
Thiago Nunez,32,Chile,Al Nassr,Ligue 1,RB,75,75,68,60,78,77,76,49,15,13,3087,2,75110000
Jude Courtois,32,France,Barcelona,Premier League,ST,63,63,53,60,65,71,57,32,11,4,1920,2,62910000
Josko Dias,24,Brazil,Manchester United,Primeira Liga,CF,60,71,57,52,54,51,53,35,15,9,2835,5,64670000
Vinicius Valverde,32,Uruguay,Porto,Saudi League,RB,82,93,99,81,82,74,81,34,10,9,3060,4,86260000
Marc Mbappe,40,Italy,PSG,Ligue 1,ST,76,77,65,76,76,81,73,12,8,5,720,3,76000000
Vinicius Hernandez,18,Norway,Porto,Saudi League,CAM,76,79,88,75,70,77,69,22,7,0,1606,4,77190000
Benjamin Modric,35,Brazil,Al Nassr,Primeira Liga,RB,61,63,57,51,44,70,63,26,8,7,2236,2,61500000
Josko Fernandes,28,Korea,Inter Milan,La Liga,GK,71,72,81,60,66,71,68,13,3,3,741,1,70990000
Marc Mendy,21,Germany,AC Milan,Eredivisie,CF,71,71,83,75,64,74,64,41,10,9,2829,5,71080000
Vinicius Mendy,31,Chile,Chelsea,Eredivisie,CDM,50,51,35,55,49,53,47,25,10,4,2175,2,50280000
Diogo Lewandowski,39,England,Liverpool,Primeira Liga,LM,65,65,64,61,60,53,68,38,10,7,2850,3,64720000
Thomas Mount,35,USA,PSG,Saudi League,CB,88,91,78,82,96,72,68,39,10,10,2184,2,89000000
Pedri Benzema,38,Japan,Porto,Saudi League,LW,80,97,79,99,74,71,81,49,19,11,3332,5,86990000
Jude Courtois,32,USA,Inter Milan,Premier League,RW,60,61,63,64,50,57,52,14,5,3,700,1,60010000
Erling Dias,25,Croatia,Arsenal,Saudi League,LW,50,51,48,62,51,58,35,14,5,3,910,5,50150000
Eduardo Felix,25,Belgium,Al Hilal,Premier League,ST,77,85,77,91,81,67,82,19,7,5,1102,2,80050000
Bernardo Junior,35,Argentina,Inter Milan,Ligue 1,RW,79,86,92,70,89,89,89,13,4,1,1170,2,81300000
Marc Havertz,35,Morocco,Barcelona,La Liga,GK,81,96,61,91,77,64,78,31,11,7,1922,2,86850000
Kai Mendy,18,Morocco,Liverpool,Premier League,LM,83,85,72,71,70,62,78,21,7,7,1407,2,83790000
Ederson Haaland,25,England,Liverpool,Serie A,LM,50,52,55,56,59,57,57,16,4,3,1008,2,50500000
Kevin Olmo,40,Morocco,Inter Milan,La Liga,LW,70,70,72,52,67,81,60,36,14,8,1836,3,69900000
Ferran Busquets,26,Brazil,Sevilla,La Liga,CAM,56,60,59,42,49,58,59,16,2,2,1040,5,57180000
Erling Fernandes,35,England,Porto,Primeira Liga,CM,71,72,65,61,73,77,63,26,6,7,1768,1,71000000
Ruben Pogba,38,Croatia,Barcelona,Premier League,ST,92,99,99,93,99,99,90,33,9,8,2376,2,94490000
Vinicius Valverde,39,Belgium,PSG,Serie A,LB,74,83,70,72,87,71,75,14,3,4,826,4,76970000
Gavi Ronaldo,31,Colombia,Bayern Munich,Bundesliga,CM,80,86,83,99,92,77,53,35,10,9,1820,0,82280000
Ilkay Rice,37,Argentina,Manchester City,La Liga,RW,65,65,83,61,54,66,69,32,10,5,2368,5,64760000
Joao Modric,28,Brazil,PSG,Bundesliga,CB,87,89,94,99,84,75,85,24,6,5,1680,1,87540000
Gavi Mahrez,30,Italy,Dortmund,Eredivisie,RM,69,74,81,51,75,74,70,19,4,2,1292,1,70600000
Jude Camavinga,26,Belgium,Liverpool,Primeira Liga,CM,54,62,59,54,50,80,35,43,11,13,2881,0,57230000
Rodrygo Alcantara,31,Brazil,Chelsea,Serie A,CF,64,64,53,56,57,54,65,21,3,4,1449,0,63530000
Gavi Pogba,28,Croatia,Manchester City,Serie A,ST,64,77,71,86,54,60,88,21,5,1,1428,4,68890000
Rodrygo Salah,23,Netherlands,Inter Milan,Bundesliga,CB,79,79,64,99,83,86,86,23,10,6,1794,4,79040000
Kai Olmo,26,USA,Juventus,Bundesliga,CM,84,88,81,92,91,86,99,10,3,2,580,3,85230000
Federico Havertz,29,Croatia,Real Madrid,Saudi League,RB,79,82,65,91,46,59,76,34,12,8,1734,0,80220000
Eduardo Foden,36,Chile,Real Madrid,Saudi League,GK,67,67,51,65,76,71,60,50,16,13,3100,5,67080000
Diogo Silva,34,Brazil,PSG,Saudi League,CB,68,68,76,54,61,81,79,35,8,14,2415,2,67720000
Karim Pogba,31,Spain,Arsenal,Serie A,ST,73,75,76,60,73,52,67,21,7,5,1575,1,73530000
Gavi Reus,38,Colombia,Al Hilal,Ligue 1,LW,55,58,45,56,60,64,49,20,8,6,1000,3,55840000
Sadio Messi,38,Netherlands,Sevilla,Ligue 1,LM,65,67,66,74,55,51,80,47,14,11,4230,4,65740000
Manuel Camavinga,19,France,AC Milan,Primeira Liga,RB,75,83,70,75,73,62,92,50,16,15,4250,1,78620000
Manuel Pavard,29,Italy,Barcelona,La Liga,CB,83,86,84,99,73,86,98,49,16,13,3822,4,84420000
Ruben De Bruyne,31,Brazil,Benfica,Premier League,CF,84,84,73,74,88,81,80,41,17,7,2870,0,84230000
Declan De Bruyne,22,USA,Manchester United,Ligue 1,CDM,61,67,67,65,70,57,54,21,8,8,1197,5,63360000
Sergio Lewandowski,29,Brazil,Juventus,Eredivisie,ST,75,76,78,59,75,64,91,39,12,10,2184,5,75420000
Gavi Olmo,25,Colombia,Benfica,Primeira Liga,RW,62,64,64,69,56,46,56,29,6,5,2320,4,62600000
David Nkunku,19,Morocco,Al Hilal,Ligue 1,LB,79,79,76,91,87,75,88,29,11,2,2233,1,79170000
Phil Modric,32,Brazil,Al Hilal,Serie A,CB,59,59,63,64,59,56,58,30,9,9,2010,1,58810000
Angel Salah,33,France,Atletico Madrid,Serie A,LW,69,85,72,50,64,78,79,15,3,4,1230,3,74890000
Gavi Haaland,37,Argentina,Dortmund,Eredivisie,RW,50,58,59,40,63,42,49,46,12,8,3542,2,53060000
Mohamed Valverde,38,Brazil,Al Hilal,Serie A,RB,65,65,71,60,68,60,76,26,9,7,1794,0,64690000
Jan Lewandowski,17,USA,Manchester City,Serie A,LW,73,73,65,76,60,90,78,28,7,4,1960,3,73010000
Neymar Ter Stegen,18,Italy,Inter Milan,Saudi League,CAM,60,65,43,49,64,47,67,42,13,12,2940,5,62290000
Declan Dias,32,Chile,AC Milan,Saudi League,LW,79,79,83,74,70,65,61,39,14,9,2496,2,79060000
Andre Dias,32,Uruguay,Benfica,Primeira Liga,RW,63,63,58,79,68,72,61,47,15,12,4230,3,63110000
Angel Foden,24,Germany,Arsenal,Serie A,LW,53,53,35,47,64,61,44,50,14,13,3350,3,53220000
Bernardo Silva,32,Italy,Inter Milan,Eredivisie,CAM,84,91,73,90,74,71,74,10,3,0,900,4,86310000
Jan Rashford,28,Morocco,Bayern Munich,Premier League,LW,85,92,73,61,82,88,81,39,15,6,2925,4,87990000
Luis Becker,32,Croatia,Manchester United,Primeira Liga,CAM,82,85,80,93,93,75,65,16,7,4,928,0,82910000
Ilkay Silva,30,Korea,Bayern Munich,Saudi League,ST,65,73,54,48,55,63,68,28,8,7,1820,2,68000000
Ederson Ter Stegen,17,Croatia,Al Nassr,Saudi League,CAM,70,70,71,54,51,68,77,36,9,4,2016,5,70110000
Neymar Mendy,40,Korea,Sevilla,La Liga,CF,88,95,99,99,87,94,91,23,8,8,1311,5,90400000
Rodrygo Reus,27,England,AC Milan,La Liga,CF,82,87,82,85,79,82,75,13,3,1,676,2,83610000
Rodrygo Silva,29,Uruguay,Benfica,Ligue 1,RW,74,74,72,61,97,72,74,35,13,8,2205,4,74070000
Andre Pogba,33,Uruguay,Ajax,Premier League,CB,60,63,76,69,68,61,43,36,9,9,2844,1,60990000
Achraf Felix,33,Norway,Porto,Premier League,CF,65,67,46,73,59,65,55,23,7,8,1242,0,65490000
Erling Valverde,19,Portugal,Manchester City,La Liga,LW,84,95,99,77,92,80,76,43,14,9,3440,5,88720000
Achraf Pogba,29,Belgium,AC Milan,Serie A,RB,62,77,47,57,75,66,55,29,6,5,2581,4,67720000
Bernardo Ronaldo,32,Chile,AC Milan,Premier League,LB,86,90,96,85,83,89,94,23,9,6,1610,5,87410000
Declan Reus,17,Colombia,Bayern Munich,Saudi League,CM,77,85,88,99,93,73,66,11,0,1,979,0,79860000
Sergio Felix,20,Colombia,Al Nassr,Saudi League,ST,52,53,47,54,62,63,47,14,4,0,798,2,52200000
Achraf Hernandez,34,Italy,Arsenal,Bundesliga,RM,70,82,75,71,78,62,55,48,13,11,3504,5,74770000
Diogo Ronaldo,27,USA,PSG,Premier League,LW,80,81,81,90,72,77,70,28,10,5,2128,3,80360000
Diogo Olmo,17,USA,Dortmund,Saudi League,ST,80,80,79,76,73,96,88,26,11,7,2002,0,80210000
Ruben Foden,35,Uruguay,Manchester City,Premier League,RB,91,96,95,88,99,79,98,37,12,8,2294,5,92900000
Thomas Rashford,30,Norway,Arsenal,Primeira Liga,RW,61,67,59,52,57,68,68,31,10,5,2728,0,63300000
Diogo Pogba,23,Colombia,Al Hilal,La Liga,ST,62,66,71,54,48,56,76,19,5,1,1311,0,63390000
Phil Messi,35,Argentina,Al Hilal,Saudi League,RB,69,73,65,59,57,88,73,22,7,8,1232,1,70250000
Sadio Valverde,27,Uruguay,Atletico Madrid,Primeira Liga,RW,62,62,53,48,58,76,64,44,16,9,2772,0,62260000
Declan Junior,29,Belgium,Bayern Munich,Ligue 1,RM,69,69,58,64,81,72,81,34,11,9,2482,0,68970000
Luka Busquets,30,Argentina,Dortmund,La Liga,RB,68,68,64,86,72,62,72,50,19,10,3850,0,68350000
